,activity,end_time,exam_1_exercise_score,exam_2_exercise_score,exercise,idle_time,intermediate_grade,keystroke,mouse_click_left,mouse_click_right,mouse_movement,mouse_wheel,mouse_wheel_click,session_id,start_time,student_id
10,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=36, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,4.0,0,2,0,86,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=36, tm_sec=1, tm_wday=3, tm_yday=324, tm_isdst=-1)",2
11,Study_Es_6_3,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=12, tm_min=56, tm_sec=6, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,1996,1.0,0,2,0,112,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=12, tm_min=56, tm_sec=4, tm_wday=3, tm_yday=345, tm_isdst=-1)",2
12,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=55, tm_sec=1, tm_wday=3, tm_yday=289, tm_isdst=-1)",1.0,,Es_2_1,1014,3.5,0,6,0,75,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=58, tm_wday=3, tm_yday=289, tm_isdst=-1)",3
13,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=52, tm_sec=8, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,156,3.5,0,2,0,78,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=52, tm_sec=7, tm_wday=3, tm_yday=296, tm_isdst=-1)",3
14,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=44, tm_sec=55, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,92,4.5,0,4,0,293,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=44, tm_sec=53, tm_wday=3, tm_yday=317, tm_isdst=-1)",3
15,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=43, tm_sec=46, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,7,0,243,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=43, tm_sec=44, tm_wday=3, tm_yday=324, tm_isdst=-1)",3
16,,,,,,,0.0,,,,,,,6,,3
17,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=59, tm_sec=59, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_4,0,n/a,0,0,0,0,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=59, tm_sec=59, tm_wday=3, tm_yday=275, tm_isdst=-1)",4
18,TextEditor_Es_2_3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=7, tm_sec=13, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_3,421,6.0,0,0,0,20,57,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=7, tm_sec=9, tm_wday=3, tm_yday=289, tm_isdst=-1)",4
19,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=7, tm_sec=50, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,3042,4.0,0,2,0,62,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=7, tm_sec=47, tm_wday=3, tm_yday=296, tm_isdst=-1)",4
20,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=5, tm_sec=46, tm_wday=3, tm_yday=317, tm_isdst=-1)",,3.0,Es_4_1,139860,5.0,6,15,0,102,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=5, tm_sec=21, tm_wday=3, tm_yday=317, tm_isdst=-1)",4
21,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=57, tm_sec=3, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,1,3.5,0,3,0,84,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=57, tm_sec=2, tm_wday=3, tm_yday=324, tm_isdst=-1)",4
22,FSM_Es_6_3,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=14, tm_sec=2, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,0,2.75,0,2,0,48,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=14, tm_sec=2, tm_wday=3, tm_yday=345, tm_isdst=-1)",4
23,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=59, tm_sec=15, tm_wday=3, tm_yday=275, tm_isdst=-1)",,2.0,Es_1_1,95,n/a,2,6,0,648,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=12, tm_min=59, tm_sec=8, tm_wday=3, tm_yday=275, tm_isdst=-1)",5
24,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=47, tm_sec=2, tm_wday=3, tm_yday=289, tm_isdst=-1)",,2.0,Es_2_1,46,5.0,0,4,0,286,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=46, tm_sec=59, tm_wday=3, tm_yday=289, tm_isdst=-1)",5
25,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=38, tm_sec=59, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,12447,4.0,45,9,4,1120,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=38, tm_sec=36, tm_wday=3, tm_yday=296, tm_isdst=-1)",5
26,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=13, tm_sec=25, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,1062735,5.0,0,1,0,796,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=12, tm_sec=34, tm_wday=3, tm_yday=317, tm_isdst=-1)",5
27,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=36, tm_sec=10, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,4.0,0,2,0,320,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=36, tm_sec=8, tm_wday=3, tm_yday=324, tm_isdst=-1)",5
28,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=58, tm_sec=25, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,0,2.75,0,2,0,92,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=58, tm_sec=25, tm_wday=3, tm_yday=345, tm_isdst=-1)",5
29,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=41, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_6,0,5.5,0,1,0,70,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=41, tm_wday=3, tm_yday=289, tm_isdst=-1)",6
30,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=44, tm_wday=3, tm_yday=296, tm_isdst=-1)",0.0,,Es_3_4,0,3.5,0,3,0,79,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=59, tm_sec=44, tm_wday=3, tm_yday=296, tm_isdst=-1)",6
31,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=28, tm_sec=8, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,0,4.5,0,2,0,67,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=28, tm_sec=8, tm_wday=3, tm_yday=317, tm_isdst=-1)",6
32,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=1, tm_sec=16, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,186,3.0,4,8,0,387,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=1, tm_sec=12, tm_wday=3, tm_yday=324, tm_isdst=-1)",6
33,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=42, tm_sec=56, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_3,237,3.0,0,5,0,350,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=42, tm_sec=52, tm_wday=3, tm_yday=345, tm_isdst=-1)",6
34,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=2, tm_sec=1, tm_wday=3, tm_yday=275, tm_isdst=-1)",n/a,n/a,Es_1_4,0,n/a,0,2,0,30,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=2, tm_sec=1, tm_wday=3, tm_yday=275, tm_isdst=-1)",7
35,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=0, tm_sec=1, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,n/a,Es_2_5,15,4.0,0,3,0,150,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=289, tm_isdst=-1)",7
36,TextEditor_Es_3_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=46, tm_sec=11, tm_wday=3, tm_yday=296, tm_isdst=-1)",0.0,2.0,Es_3_4,141,4.0,0,2,0,70,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=46, tm_sec=10, tm_wday=3, tm_yday=296, tm_isdst=-1)",7
37,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=27, tm_sec=21, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,n/a,Es_4_5,0,4.5,0,1,0,4,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=27, tm_sec=21, tm_wday=3, tm_yday=317, tm_isdst=-1)",7
38,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=18, tm_sec=47, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,n/a,Es_5_4,0,4.0,0,1,0,80,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=18, tm_sec=47, tm_wday=3, tm_yday=324, tm_isdst=-1)",7
39,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=50, tm_sec=53, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,n/a,Es_6_3,0,2.0,0,1,0,167,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=50, tm_sec=52, tm_wday=3, tm_yday=345, tm_isdst=-1)",7
40,Blank,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=44, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_6,0,4.0,0,2,0,46,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=54, tm_sec=44, tm_wday=3, tm_yday=289, tm_isdst=-1)",8
41,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=4, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,0,3.5,0,2,0,45,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=48, tm_sec=4, tm_wday=3, tm_yday=296, tm_isdst=-1)",8
42,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=7, tm_sec=18, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,15,4.0,0,3,0,167,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=7, tm_sec=17, tm_wday=3, tm_yday=317, tm_isdst=-1)",8
43,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=29, tm_sec=26, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,3.0,0,6,0,507,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=29, tm_sec=22, tm_wday=3, tm_yday=324, tm_isdst=-1)",8
44,,,,,,,0.0,,,,,,,6,,8
45,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=8, tm_sec=38, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_4,47,n/a,0,2,0,115,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=8, tm_sec=37, tm_wday=3, tm_yday=275, tm_isdst=-1)",9
46,,,,,,,0.0,,,,,,,2,,9
47,TextEditor_Es_3_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=56, tm_sec=51, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,136534,3.0,0,16,0,1145,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=56, tm_sec=24, tm_wday=3, tm_yday=296, tm_isdst=-1)",9
48,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=10, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_4,0,4.0,0,2,0,43,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=10, tm_sec=45, tm_wday=3, tm_yday=317, tm_isdst=-1)",9
49,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=59, tm_sec=14, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,109,4.0,0,1,0,172,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=59, tm_sec=13, tm_wday=3, tm_yday=324, tm_isdst=-1)",9
50,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=5, tm_sec=40, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,0,2.0,0,2,0,133,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=5, tm_sec=38, tm_wday=3, tm_yday=345, tm_isdst=-1)",9
51,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=2, tm_sec=23, tm_wday=3, tm_yday=275, tm_isdst=-1)",2.0,,Es_1_1,766,n/a,0,6,2,260,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=2, tm_sec=17, tm_wday=3, tm_yday=275, tm_isdst=-1)",10
52,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=45, tm_sec=41, tm_wday=3, tm_yday=289, tm_isdst=-1)",n/a,,Es_2_4,0,5.0,0,4,0,156,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=13, tm_min=45, tm_sec=40, tm_wday=3, tm_yday=289, tm_isdst=-1)",10
53,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=47, tm_sec=23, tm_wday=3, tm_yday=296, tm_isdst=-1)",2.0,,Es_3_4,0,4.0,0,2,0,210,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=47, tm_sec=22, tm_wday=3, tm_yday=296, tm_isdst=-1)",10
54,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=45, tm_sec=42, tm_wday=3, tm_yday=317, tm_isdst=-1)",n/a,,Es_4_5,0,4.5,0,2,0,54,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=45, tm_sec=42, tm_wday=3, tm_yday=317, tm_isdst=-1)",10
55,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=46, tm_sec=7, tm_wday=3, tm_yday=324, tm_isdst=-1)",n/a,,Es_5_4,0,4.0,0,2,0,99,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=46, tm_sec=7, tm_wday=3, tm_yday=324, tm_isdst=-1)",10
56,Other,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=55, tm_sec=18, tm_wday=3, tm_yday=345, tm_isdst=-1)",n/a,,Es_6_4,0,3.0,0,2,0,92,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=55, tm_sec=18, tm_wday=3, tm_yday=345, tm_isdst=-1)",10
57,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=8, tm_sec=54, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_3,512,n/a,0,9,2,881,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=8, tm_sec=43, tm_wday=3, tm_yday=275, tm_isdst=-1)",11
58,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=18, tm_sec=30, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_5,30,4.0,0,6,0,239,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=18, tm_sec=28, tm_wday=3, tm_yday=289, tm_isdst=-1)",11
59,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=9, tm_sec=32, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_3,28351,2.0,58,0,0,0,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=14, tm_min=9, tm_sec=15, tm_wday=3, tm_yday=296, tm_isdst=-1)",11
60,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=6, tm_sec=20, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,0,5.0,0,1,0,76,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=6, tm_sec=20, tm_wday=3, tm_yday=317, tm_isdst=-1)",11
61,TextEditor_Es_5_4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=21, tm_sec=37, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,281,4.0,0,0,0,460,14,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=12, tm_min=21, tm_sec=32, tm_wday=3, tm_yday=324, tm_isdst=-1)",11
62,Properties,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=56, tm_sec=27, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,1,1.5,0,4,0,176,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=13, tm_min=56, tm_sec=26, tm_wday=3, tm_yday=345, tm_isdst=-1)",11
63,Aulaweb,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=12, tm_sec=51, tm_wday=3, tm_yday=275, tm_isdst=-1)",,n/a,Es_1_4,0,n/a,0,0,0,22,0,0,1,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=2, tm_hour=13, tm_min=12, tm_sec=51, tm_wday=3, tm_yday=275, tm_isdst=-1)",12
64,Other,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=8, tm_sec=52, tm_wday=3, tm_yday=289, tm_isdst=-1)",,n/a,Es_2_5,0,3.5,0,2,0,34,0,0,2,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=16, tm_hour=14, tm_min=8, tm_sec=52, tm_wday=3, tm_yday=289, tm_isdst=-1)",12
65,Deeds_Es_3_4,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=56, tm_sec=42, tm_wday=3, tm_yday=296, tm_isdst=-1)",,2.0,Es_3_4,0,3.5,0,4,0,28,0,0,3,"time.struct_time(tm_year=2014, tm_mon=10, tm_mday=23, tm_hour=13, tm_min=56, tm_sec=42, tm_wday=3, tm_yday=296, tm_isdst=-1)",12
66,Blank,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=35, tm_sec=7, tm_wday=3, tm_yday=317, tm_isdst=-1)",,n/a,Es_4_5,157,4.5,0,2,0,58,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=35, tm_sec=5, tm_wday=3, tm_yday=317, tm_isdst=-1)",12
67,TextEditor,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=3, tm_sec=18, tm_wday=3, tm_yday=324, tm_isdst=-1)",,n/a,Es_5_4,0,4.0,0,2,0,14,0,0,5,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=20, tm_hour=13, tm_min=3, tm_sec=18, tm_wday=3, tm_yday=324, tm_isdst=-1)",12
68,Study_Es_6_3,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=5, tm_sec=17, tm_wday=3, tm_yday=345, tm_isdst=-1)",,n/a,Es_6_3,0,2.0,0,2,0,4,0,0,6,"time.struct_time(tm_year=2014, tm_mon=12, tm_mday=11, tm_hour=14, tm_min=5, tm_sec=17, tm_wday=3, tm_yday=345, tm_isdst=-1)",12
69,,,,,,,0.0,,,,,,,2,,13
70,,,,,,,0.0,,,,,,,3,,13
71,Other,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=23, tm_sec=59, tm_wday=3, tm_yday=317, tm_isdst=-1)",14.5,,Es_4_1,96,5.0,2,2,0,87,0,0,4,"time.struct_time(tm_year=2014, tm_mon=11, tm_mday=13, tm_hour=12, tm_min=23, tm_sec=56, tm_wday=3, tm_yday=317, tm_isdst=-1)",13
